name,phone,address,brownies,donuts,rissoles,breads,total orders,total number of order
Daniel anggrianto,(+62) 462 8863 8539,59226 Farragut Court,0,2,3,4,25 brownies,10
Zorah Hinksen,(+62) 874 0947 284,7 Grayhawk Way,10,5,20,5,"10 brownies, 5 donuts, 20 rissole, 5 bread",40
Domenico Lindemann,(+62) 376 9874 874,22 Rigney Way,20,40,10,20,"20 brownies, 40 donuts, 10 rissole, 20 bread",90
Spencer McDermid,(+62) 660 6605 3097,87 Riverside Trail,10,35,10,10,35 donuts,35
Erl Harcourt,(+62) 690 8489 865,5718 Walton Drive,20,0,0,50,"20 brownies, 50 breads",70
Howey Tendahl,(+62) 275 8835 386,29 Kensington Parkway,0,50,0,0,50 donuts,50
Clemence Lisciandri,(+62) 425 6193 222,349 Leroy Way,25,15,15,0,"25 brownies, 15 donuts, 15 rissole",55
Emile Beeby,(+62) 589 2144 663,202 Eastwood Alley,20,10,0,35,"20 brownies, 10 donuts, 35 breads",65
Raquel Lockner,(+62) 905 9765 314,95233 Ridgeview Circle,10,20,0,0,"10 brownies, 20 donuts",30
Sloan Heintze,(+62) 660 1959 702,244 Onsgard Place,0,0,0,15,15 bread,15
Shandee Bremeyer,(+62) 909 8993 208,61 Red Cloud Avenue,0,20,35,30,"20 donuts, 35 rissole, 30 bread",85
Beverlee Rulf,(+62) 2114 831 830,3 Pennsylvania Avenue,0,30,10,0,"30 donuts, 10 rissole",40
Ring MacKellar,(+62) 297 8117 711,3695 Paget Trail,0,25,50,0,"25 donuts, 50 rissole",75
Merrel MacKellar,(+62) 386 5872 907,9 Katie Parkway,0,0,15,70,"15 rissole, 70 bread",85
Willabella Couroy,(+62) 819 6267 0337,3557 Trailsway Point,35,0,10,0,"35 brownies, 10 rissole",45
Jessamine Royste,(+62) 714 6657 597,86 Petterle Pass,0,0,20,40,"20 rissole, 40 bread",60
Mahalia Izakov,(+62) 792 6818 2738,79 Vahlen Way,50,35,0,0,"50 brownies, 35 donuts",85
Whitney Southam,(+62) 725 8507 392,8725 North Center,15,50,20,10,"15 brownies, 50 donuts, 20 rissole, 10 bread",95
Tandi Brik,(+62) 963 3144 218,8770 Maple Court,10,50,0,0,"10 brownies, 50 donuts",60
Emmeline Killbey,(+62) 244 1216 867,3127 Scofield Street,20,15,25,30,"20 brownies, 15 donuts, 25 rissole, 30 bread",90
Skippie Forgan,(+62) 372 2523 440,760 Melby Way,0,10,15,0,"10 donuts, 15 rissole",25
Jacquie Nolleth,(+62) 952 6325 4713,7 Lakeland Alley,20,20,10,20,"20 brownies, 20 donuts, 10 rissole, 20 bread",70
Sigvard Aynold,(+62) 520 1554 047,19824 High Crossing Park,30,0,20,40,"30 brownies, 20 rissole, 40 bread",90
Lidia Yearnsley,(+62) 812 155 057,49000 Hauk Terrace,25,20,0,0,"25 brownies, 20 donuts",45
Juliana Solomonides,(+62) 654 1752 469,27249 Grasskamp Court,15,0,20,50,"15 brownies, 20 rissole, 50 bread",85
Norah Oakwell,(+62) 453 3614 687,0453 Portage Parkway,10,25,0,0,"10 brownies, 25 donuts",35
Dawn Gjerde,(+62) 336 0919 4022,9963 Tennyson Point,20,10,25,0,"20 brownies, 10 donuts, 25 rissole",55
Charley Merryman,(+62) 945 3034 4024,89 Springs Parkway,0,20,20,0,"20 donuts, 20 rissole",40
Konstance Staunton,(+62) 843 100 045,844 Reindahl Parkway,20,0,0,10,"20 brownies, 10 breads",30
Murdock Puzey,(+62) 645 3072 2582,08 Chive Street,30,20,20,20,"30 brownies, 20 donuts, 20 rissole, 20 bread",90
Toma Assad,(+62) 462 8863 8539,59226 Farragut Court,25,0,0,0,25 brownies,25
